### Table 1: Participant demographics
Indigenous status,Total (n=84)
----------------------------------,--------------
- Aboriginal,83 (99%)
- Aboriginal and Torres Strait Islander,1 (1%)
Geographical location of usual residence
- Metropolitan,80 (95%)
- Regional (inner/outer),0
- Rural,0
- Remote,0
- Very remote,4 (5%)
Sex
- Male,37 (44%)
- Female,47 (56%)
Age group
- 0–9 years,49 (58%)
- 10–19 years,35 (42%)
Median age (IQR),"8 years (5, 12)"
---
### Table 2: Past sunburn and FSP characteristics
Characteristics,Total (n = 79)
-------------------------------------------,----------------
A history of past sunburn,79 reported
- FSP I,67 (83%)
- FSP II,15 (19%)
- FSP III,1 (1%)
"- Highest rates in FSP II (4/15, 80%)"
- FSP I and III,"15/18, 83%"
- Participants reporting sun exposure in summer months,"45 (79%), 57% never (27)"
---
### Table 3: Prevalence of eczema and scabies
Condition,Prevalence (%)
---------------------,------------------------
Lifetime prevalence of eczema,43% (34/80)
Dermathophyte infections,38% (30/80)
Scabies,14% (11/80)
---
### Table 4: Skin examination findings
Condition,Total (n = 79)
----------------------------------,-------------------------
Prevalence of tinea capitis,23% (18/79)
Dermathophyte infections,5% (4/79)
Prevalence of BSI,1% (1/79)
---
