Table 4: Summary of skin examination findings in urban-living Aboriginal children
Skin Condition,Total (n = 79)
---------------------------------------,-----------------
Pediculous capitis,18 (23%)
Acne,18 (23%)
Dermatophyte infections (all),15 (19%)
- Tinea corporis,9 (11%)
- Tinea pedis,8 (10%)
Atopic dermatitis,12 (15%)
Seborrheic dermatitis,11 (14%)
Pityriasis alba,10 (13%)
Keratosis pilaris,8 (10%)
"Other eczema/dermatitis (incl. irritant contact dermatitis, dyshidrotic eczema, juvenile plantar dermatosis, lip-lickers dermatitis)",6 (8%)
Acral nevi,5 (6%)
